round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
150,5.466956305922124,0.0,0.6608187137988576,3.2702041705649103,0.46048855946291634,0.7412060304502746,elu,12,0.5,150,20,0,glorot_uniform,sigmoid,binary_crossentropy,1.25,dense,<class 'keras.optimizers.Nadam'>,triangle
200,0.5345331705801668,0.6320002657628199,0.8362573172613891,0.6154825049429083,0.2582925930993641,0.6658291457286433,elu,44,0.8,200,10,2,random_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Adadelta'>,funnel
200,0.6478974637929459,0.0,0.6608187078732496,0.6683550722634972,0.0,0.6130653266331658,elu,20,0.5,200,30,1,random_uniform,sigmoid,binary_crossentropy,1,dense,<class 'keras.optimizers.Adam'>,funnel
150,0.049882047695287486,0.7184041958106192,0.8654970816004346,0.042663753556845777,0.8841721322668258,0.9246231095874728,elu,28,0.0,150,30,5,random_uniform,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.SGD'>,triangle
200,0.10733465693498913,0.0,0.6608187211187262,0.11503854079462177,0.04593295809911124,0.6130653266331658,relu,36,0.8,200,30,1,glorot_normal,sigmoid,logcosh,1.5,dense,<class 'keras.optimizers.Adadelta'>,funnel
150,0.14713036600086424,0.0,0.6608187078732496,0.17059937621181334,0.05455849989874279,0.5954773932246108,relu,20,0.5,150,20,2,glorot_normal,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.SGD'>,triangle
50,0.2055070282842376,0.8310219624586273,0.9239766095813952,0.16908616011016933,0.88836068723669,0.9246231227663894,relu,12,0.1,50,30,4,random_uniform,sigmoid,binary_crossentropy,0.5,dense,<class 'keras.optimizers.Adam'>,brick
200,0.14713036700298912,0.0,0.6608187211187262,0.16784493550283824,0.0,0.6130653239374784,relu,36,0.0,200,20,0,random_uniform,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.Adam'>,brick
100,0.11465245345879717,0.0,0.660818716587379,0.11561540364470314,0.024893696733455564,0.6105527713071162,elu,28,0.8,100,10,3,random_normal,sigmoid,logcosh,0.5,dense,<class 'keras.optimizers.SGD'>,funnel
50,0.3175981783727456,0.7884023942445454,0.8538011755162512,0.25273360959698804,0.8750166275992466,0.9070351854640635,relu,44,0.0,50,10,2,glorot_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.Adadelta'>,triangle
150,0.14713036700298912,0.0,0.6608187211187262,0.1886033643430202,0.3308491368389609,0.5251256239474119,elu,36,0.8,150,40,2,glorot_normal,sigmoid,logcosh,1,dense,<class 'keras.optimizers.Nadam'>,triangle
100,5.466956289190995,0.0,0.6608187211187262,0.9119871582218151,0.06215693146439653,0.61809044267664,relu,36,0.8,100,10,3,glorot_uniform,sigmoid,binary_crossentropy,1.5,dense,<class 'keras.optimizers.Nadam'>,brick
100,0.04720708512161907,0.8108930650510286,0.8830409395067316,0.20184887653619202,0.4339487732355319,0.5276381948485447,relu,36,0.8,100,30,0,glorot_normal,sigmoid,logcosh,1,dense,<class 'keras.optimizers.Adadelta'>,triangle
200,10.53502653356184,0.4907657237429368,0.33918128829253347,6.329023528937719,0.28029539327525615,0.5829145665743842,elu,12,0.8,200,30,2,random_uniform,sigmoid,binary_crossentropy,0.75,dense,<class 'keras.optimizers.SGD'>,brick
100,0.505829560129266,0.0,0.6608187211187262,0.5894722938537598,0.0,0.6130653212417909,relu,36,0.5,100,20,4,random_normal,sigmoid,binary_crossentropy,0.5,dense,<class 'keras.optimizers.Adam'>,funnel
200,0.051507452862304556,0.794045737263752,0.8947368434995239,0.08735714493384912,0.5544672773112005,0.7487437163465586,relu,28,0.8,200,40,5,random_normal,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.Adam'>,triangle
150,0.2866505377473887,0.49677590354841356,0.3391812844583166,0.2659360342588856,0.5471276997321814,0.3869346759876414,relu,20,0.0,150,20,5,glorot_normal,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.Nadam'>,funnel
50,0.28665054471869217,0.5001515275553653,0.33918128515544693,0.2659360451913958,0.5569064689041981,0.38693467067114673,elu,36,0.0,50,30,0,glorot_normal,sigmoid,logcosh,1.25,dense,<class 'keras.optimizers.SGD'>,funnel
100,0.2866070934554987,0.5040644616411444,0.33918128846681606,0.26586514411859175,0.5522277022725973,0.38693467815916743,relu,44,0.0,100,20,4,glorot_uniform,sigmoid,logcosh,0.75,dense,<class 'keras.optimizers.SGD'>,brick
