round_epochs,val_loss,val_f1score,val_acc,loss,f1score,acc,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,kernel_initializer,last_activation,losses,lr,network,optimizer,shapes
150,0.6697119425823338,0.522880600809486,0.7834123225008707,0.3110887918565294,0.6710286359630043,0.8409183259322265,elu,32,0.3,150,256,4,glorot_uniform,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.Adam'>,funnel
200,0.5436249524496178,0.0,0.7511848343492119,0.5537669733499715,0.23027292722272272,0.7503047542134129,relu,32,0.6,200,64,5,random_normal,sigmoid,binary_crossentropy,4,dense,<class 'keras.optimizers.Adam'>,funnel
100,0.5887122181919514,0.0,0.7511848344057093,0.5654944757144174,0.0016253553527683226,0.7255180820320157,relu,64,0.6,100,128,4,glorot_uniform,sigmoid,binary_crossentropy,0.09,dense,<class 'keras.optimizers.SGD'>,triangle
200,0.5154818265358984,0.0,0.7511848343492119,0.5600918672376414,0.15939517692791064,0.7350670458678549,elu,32,0.8,200,64,1,glorot_uniform,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Adam'>,funnel
100,0.4076572933185722,0.5903125775933831,0.8203791475409015,0.43953339924467427,0.5328323268541617,0.7880942707427969,elu,64,0.3,100,128,5,random_normal,sigmoid,binary_crossentropy,2,dense,<class 'keras.optimizers.SGD'>,funnel
200,0.5755275504283995,0.0,0.7511848344057093,0.5924651832999083,0.0,0.7267370984497132,relu,128,0.8,200,256,4,glorot_uniform,sigmoid,binary_crossentropy,5,dense,<class 'keras.optimizers.Adam'>,brick
100,0.06845747714076562,0.5396013430792008,0.8180094784469966,0.08849526789797753,0.35693188434885265,0.7618854125550684,elu,128,0.6,100,256,1,random_uniform,sigmoid,logcosh,0.09,dense,<class 'keras.optimizers.Adam'>,funnel
200,0.47862383211958465,0.496854948884503,0.7995260661247218,0.4512957980941825,0.5842613317965493,0.8216172290594294,relu,64,0.3,200,128,1,glorot_uniform,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.Adadelta'>,funnel
200,0.07066761416987785,0.5868389310430011,0.7829383883431059,0.0544662810695554,0.6769569589930886,0.8399024787640872,elu,32,0.0,200,128,4,random_uniform,sigmoid,logcosh,5,dense,<class 'keras.optimizers.SGD'>,funnel
200,0.624698414452268,0.5966850393191333,0.7791469196572688,0.39900627791615145,0.655928160203564,0.7696058513526266,relu,256,0.3,200,64,5,random_normal,sigmoid,binary_crossentropy,3,dense,<class 'keras.optimizers.Adadelta'>,funnel
